city,timestamp,temperature,humidity,wind_speed
Islamabad,2026-08-01 11:00:00+00:00,31.2,63,1.27
Islamabad,2026-08-01 12:00:00+00:00,31.5,62,2.12
Islamabad,2026-08-01 13:00:00+00:00,30.4,69,1.52
Islamabad,2026-08-01 14:00:00+00:00,29.1,77,0.95
Islamabad,2026-08-01 15:00:00+00:00,28.3,80,0.89
Islamabad,2026-08-01 16:00:00+00:00,28.0,80,1.17
Islamabad,2026-08-01 17:00:00+00:00,27.6,80,1.17
Islamabad,2026-08-01 18:00:00+00:00,27.7,84,0.95
Islamabad,2026-08-01 19:00:00+00:00,27.1,87,0.97
Islamabad,2026-08-01 20:00:00+00:00,26.8,88,1.52
Islamabad,2026-08-01 21:00:00+00:00,26.5,87,1.94
Islamabad,2026-08-01 22:00:00+00:00,26.3,85,2.1
Islamabad,2026-08-01 23:00:00+00:00,24.4,92,3.94
Islamabad,2026-08-02 00:00:00+00:00,25.3,90,2.01
Islamabad,2026-08-02 01:00:00+00:00,25.5,89,1.9
Islamabad,2026-08-02 02:00:00+00:00,26.3,87,1.25
Islamabad,2026-08-02 03:00:00+00:00,27.7,80,1.36
Islamabad,2026-08-02 04:00:00+00:00,29.2,71,1.72
Islamabad,2026-08-02 05:00:00+00:00,30.4,67,1.41
Islamabad,2026-08-02 06:00:00+00:00,31.1,66,1.49
Islamabad,2026-08-02 07:00:00+00:00,31.5,66,1.56
Islamabad,2026-08-02 08:00:00+00:00,32.1,64,1.29
Islamabad,2026-08-02 09:00:00+00:00,32.4,63,1.35
Islamabad,2026-08-02 10:00:00+00:00,32.7,61,1.32
Islamabad,2026-08-02 11:00:00+00:00,32.5,61,1.26
Islamabad,2026-08-02 12:00:00+00:00,32.9,54,1.61
Islamabad,2026-08-02 13:00:00+00:00,31.3,67,1.59
Islamabad,2026-08-02 14:00:00+00:00,29.5,78,1.64
Islamabad,2026-08-02 15:00:00+00:00,28.3,86,0.81
Islamabad,2026-08-02 16:00:00+00:00,27.9,88,0.67
Islamabad,2026-08-02 17:00:00+00:00,27.7,88,1.79
Islamabad,2026-08-02 18:00:00+00:00,27.8,86,1.83
Islamabad,2026-08-02 19:00:00+00:00,27.3,87,1.77
Islamabad,2026-08-02 20:00:00+00:00,27.0,88,1.49
Islamabad,2026-08-02 21:00:00+00:00,26.7,87,1.42
Islamabad,2026-08-02 22:00:00+00:00,26.5,87,0.97
Islamabad,2026-08-02 23:00:00+00:00,26.5,86,0.52
Islamabad,2026-08-03 00:00:00+00:00,26.3,95,0.2
Islamabad,2026-08-03 01:00:00+00:00,26.5,95,1.39
Islamabad,2026-08-03 02:00:00+00:00,27.2,91,1.06
Islamabad,2026-08-03 03:00:00+00:00,28.4,84,0.96
Islamabad,2026-08-03 04:00:00+00:00,28.7,83,1.7
Islamabad,2026-08-03 05:00:00+00:00,29.6,79,1.99
Islamabad,2026-08-03 06:00:00+00:00,30.5,73,1.71
Islamabad,2026-08-03 07:00:00+00:00,30.7,72,1.79
Islamabad,2026-08-03 08:00:00+00:00,26.9,90,3.11
Islamabad,2026-08-03 09:00:00+00:00,27.2,88,1.52
Islamabad,2026-08-03 10:00:00+00:00,29.5,77,1.54
Islamabad,2026-08-03 11:00:00+00:00,30.1,74,2.01
Islamabad,2026-08-03 12:00:00+00:00,27.9,86,1.66
Islamabad,2026-08-03 13:00:00+00:00,28.0,85,1.41
Islamabad,2026-08-03 14:00:00+00:00,27.7,87,1.14
Islamabad,2026-08-03 15:00:00+00:00,27.2,90,0.74
Islamabad,2026-08-03 16:00:00+00:00,26.8,93,1.13
Islamabad,2026-08-03 17:00:00+00:00,26.2,95,0.93
Islamabad,2026-08-03 18:00:00+00:00,26.3,92,1.3
Islamabad,2026-08-03 19:00:00+00:00,25.7,95,0.93
Islamabad,2026-08-03 20:00:00+00:00,25.6,95,1.33
Islamabad,2026-08-03 21:00:00+00:00,25.4,96,1.02
Islamabad,2026-08-03 22:00:00+00:00,25.3,95,0.64
Islamabad,2026-08-03 23:00:00+00:00,24.6,95,0.35
Islamabad,2026-08-04 00:00:00+00:00,24.5,96,1.25
Islamabad,2026-08-04 01:00:00+00:00,24.4,97,0.49
Islamabad,2026-08-04 02:00:00+00:00,24.8,94,0.65
Islamabad,2026-08-04 03:00:00+00:00,26.1,90,0.8
Islamabad,2026-08-04 04:00:00+00:00,28.0,79,0.56
Islamabad,2026-08-04 05:00:00+00:00,29.6,72,0.72
Islamabad,2026-08-04 06:00:00+00:00,30.7,68,1.43
Islamabad,2026-08-04 07:00:00+00:00,31.0,67,1.81
Islamabad,2026-08-04 08:00:00+00:00,31.6,65,0.85
Islamabad,2026-08-04 09:00:00+00:00,31.9,65,0.45
Islamabad,2026-08-04 10:00:00+00:00,31.9,65,0.59
Islamabad,2026-08-04 11:00:00+00:00,31.4,68,0.92
Islamabad,2026-08-04 12:00:00+00:00,31.5,66,1.76
Islamabad,2026-08-04 13:00:00+00:00,30.7,70,1.11
Islamabad,2026-08-04 14:00:00+00:00,29.6,78,0.43
Islamabad,2026-08-04 15:00:00+00:00,28.9,84,1.18
Islamabad,2026-08-04 16:00:00+00:00,28.5,82,1.59
Islamabad,2026-08-04 17:00:00+00:00,28.0,83,1.21
Islamabad,2026-08-04 18:00:00+00:00,28.2,88,0.32
Islamabad,2026-08-04 19:00:00+00:00,27.6,88,0.6
Islamabad,2026-08-04 20:00:00+00:00,27.2,88,1.3
Islamabad,2026-08-04 21:00:00+00:00,25.7,85,2.17
Islamabad,2026-08-04 22:00:00+00:00,25.3,89,1.25
Islamabad,2026-08-04 23:00:00+00:00,25.0,94,0.73
Islamabad,2026-08-05 00:00:00+00:00,24.9,95,0.94
Islamabad,2026-08-05 01:00:00+00:00,25.0,94,0.79
Islamabad,2026-08-05 02:00:00+00:00,25.9,91,0.85
Islamabad,2026-08-05 03:00:00+00:00,27.0,86,1.15
Islamabad,2026-08-05 04:00:00+00:00,28.4,78,1.32
Islamabad,2026-08-05 05:00:00+00:00,29.6,73,1.44
Islamabad,2026-08-05 06:00:00+00:00,31.1,66,1.73
Islamabad,2026-08-05 07:00:00+00:00,31.4,66,2.2
Islamabad,2026-08-05 08:00:00+00:00,31.4,67,2.12
Islamabad,2026-08-05 09:00:00+00:00,31.4,68,2.11
Islamabad,2026-08-05 10:00:00+00:00,31.4,68,1.66
Islamabad,2026-08-05 11:00:00+00:00,31.6,67,1.35
Islamabad,2026-08-05 12:00:00+00:00,32.2,64,1.65
Islamabad,2026-08-05 13:00:00+00:00,30.6,71,2.88
Islamabad,2026-08-05 14:00:00+00:00,28.9,80,2.36
Islamabad,2026-08-05 15:00:00+00:00,28.2,83,2.11
Islamabad,2026-08-05 16:00:00+00:00,27.8,82,1.72
Islamabad,2026-08-05 17:00:00+00:00,27.4,84,1.77
Islamabad,2026-08-05 18:00:00+00:00,27.9,87,2.11
Islamabad,2026-08-05 19:00:00+00:00,27.0,89,2.38
Islamabad,2026-08-05 20:00:00+00:00,26.2,90,2.44
Islamabad,2026-08-05 21:00:00+00:00,23.6,93,3.02
Islamabad,2026-08-05 22:00:00+00:00,22.5,95,3.89
Islamabad,2026-08-05 23:00:00+00:00,22.8,96,1.55
Islamabad,2026-08-06 00:00:00+00:00,24.2,96,1.3
Islamabad,2026-08-06 01:00:00+00:00,24.3,95,0.98
Islamabad,2026-08-06 02:00:00+00:00,25.0,94,0.81
Islamabad,2026-08-06 03:00:00+00:00,26.7,87,0.71
Islamabad,2026-08-06 04:00:00+00:00,28.9,73,0.3
Islamabad,2026-08-06 05:00:00+00:00,30.5,65,0.81
Islamabad,2026-08-06 06:00:00+00:00,31.7,59,1.23
Islamabad,2026-08-06 07:00:00+00:00,32.2,58,0.9
Islamabad,2026-08-06 08:00:00+00:00,32.1,57,2.1
Islamabad,2026-08-06 09:00:00+00:00,31.9,60,1.56
Islamabad,2026-08-06 10:00:00+00:00,30.1,69,2.76
Islamabad,2026-08-06 11:00:00+00:00,29.4,71,2.31
Islamabad,2026-08-06 12:00:00+00:00,31.8,60,2.14
Islamabad,2026-08-06 13:00:00+00:00,30.4,68,2.2
Islamabad,2026-08-06 14:00:00+00:00,28.7,72,2.18
Islamabad,2026-08-06 15:00:00+00:00,27.9,71,1.83
Islamabad,2026-08-06 16:00:00+00:00,27.6,71,1.96
Islamabad,2026-08-06 17:00:00+00:00,27.2,74,1.79
Islamabad,2026-08-06 18:00:00+00:00,27.3,82,2.47
Islamabad,2026-08-06 19:00:00+00:00,23.6,96,2.4
Islamabad,2026-08-06 20:00:00+00:00,23.4,95,2.45
Islamabad,2026-08-06 21:00:00+00:00,23.4,94,3.0
Islamabad,2026-08-06 22:00:00+00:00,23.2,95,2.17
Islamabad,2026-08-06 23:00:00+00:00,23.5,93,1.9
Islamabad,2026-08-07 00:00:00+00:00,23.8,97,1.92
Islamabad,2026-08-07 01:00:00+00:00,23.4,97,3.18
Islamabad,2026-08-07 02:00:00+00:00,24.6,91,1.97
Islamabad,2026-08-07 03:00:00+00:00,25.8,87,0.38
Islamabad,2026-08-07 04:00:00+00:00,27.2,81,1.02
Islamabad,2026-08-07 05:00:00+00:00,29.0,74,1.41
Islamabad,2026-08-07 06:00:00+00:00,29.8,68,1.87
Islamabad,2026-08-07 07:00:00+00:00,30.7,64,1.94
Islamabad,2026-08-07 08:00:00+00:00,30.9,63,0.56
Islamabad,2026-08-07 09:00:00+00:00,31.6,61,1.01
Islamabad,2026-08-07 10:00:00+00:00,31.9,59,1.44
Islamabad,2026-08-07 11:00:00+00:00,31.6,60,1.65
Islamabad,2026-08-07 12:00:00+00:00,30.8,61,2.13
Islamabad,2026-08-07 13:00:00+00:00,30.0,66,1.5
Islamabad,2026-08-07 14:00:00+00:00,28.6,73,2.43
Islamabad,2026-08-07 15:00:00+00:00,27.4,78,1.66
Islamabad,2026-08-07 16:00:00+00:00,26.8,82,1.36
Islamabad,2026-08-07 17:00:00+00:00,26.3,86,0.73
Islamabad,2026-08-07 18:00:00+00:00,26.9,87,0.6
Islamabad,2026-08-07 19:00:00+00:00,26.5,86,0.15
Islamabad,2026-08-07 20:00:00+00:00,26.0,88,0.16
Islamabad,2026-08-07 21:00:00+00:00,25.7,89,0.45
Islamabad,2026-08-07 22:00:00+00:00,25.6,89,0.78
Islamabad,2026-08-07 23:00:00+00:00,25.4,90,0.78
Islamabad,2026-08-08 00:00:00+00:00,22.6,89,2.11
Islamabad,2026-08-08 01:00:00+00:00,23.4,92,1.95
Islamabad,2026-08-08 02:00:00+00:00,24.4,90,1.01
Islamabad,2026-08-08 03:00:00+00:00,26.3,80,1.02
Islamabad,2026-08-08 04:00:00+00:00,28.5,68,0.93
Islamabad,2026-08-08 05:00:00+00:00,29.9,64,1.49
Islamabad,2026-08-08 06:00:00+00:00,31.2,60,0.86
Islamabad,2026-08-08 07:00:00+00:00,31.3,58,2.09
Islamabad,2026-08-08 08:00:00+00:00,31.6,59,2.74
Islamabad,2026-08-08 09:00:00+00:00,30.5,64,4.0
Islamabad,2026-08-08 10:00:00+00:00,30.3,66,3.05
Islamabad,2026-08-08 11:00:00+00:00,30.4,66,2.55
Islamabad,2026-08-08 12:00:00+00:00,30.2,67,2.86
Islamabad,2026-08-08 13:00:00+00:00,29.6,69,2.36
Islamabad,2026-08-08 14:00:00+00:00,28.6,76,1.59
Islamabad,2026-08-08 15:00:00+00:00,27.7,83,0.71
Islamabad,2026-08-08 16:00:00+00:00,27.2,86,0.34
Islamabad,2026-08-08 17:00:00+00:00,26.6,89,0.35
Islamabad,2026-08-08 18:00:00+00:00,27.3,85,0.76
Islamabad,2026-08-08 19:00:00+00:00,26.8,88,0.29
Islamabad,2026-08-08 20:00:00+00:00,26.5,89,0.68
Islamabad,2026-08-08 21:00:00+00:00,26.2,91,0.42
Islamabad,2026-08-08 22:00:00+00:00,26.0,92,0.61
Islamabad,2026-08-08 23:00:00+00:00,25.9,92,0.36
Islamabad,2026-08-09 00:00:00+00:00,25.9,94,1.4
Islamabad,2026-08-09 01:00:00+00:00,25.9,92,0.65
Islamabad,2026-08-09 02:00:00+00:00,26.7,89,0.86
Islamabad,2026-08-09 03:00:00+00:00,28.0,81,0.56
Islamabad,2026-08-09 04:00:00+00:00,29.1,75,0.3
Islamabad,2026-08-09 05:00:00+00:00,30.1,72,0.21
Islamabad,2026-08-09 06:00:00+00:00,31.3,67,0.81
Islamabad,2026-08-09 07:00:00+00:00,31.8,66,1.33
Islamabad,2026-08-09 08:00:00+00:00,32.1,64,0.36
Islamabad,2026-08-09 09:00:00+00:00,32.4,63,0.62
Islamabad,2026-08-09 10:00:00+00:00,32.7,60,0.6
Islamabad,2026-08-09 11:00:00+00:00,32.4,59,0.72
Islamabad,2026-08-09 12:00:00+00:00,32.3,56,1.47
Islamabad,2026-08-09 13:00:00+00:00,31.5,60,1.37
Islamabad,2026-08-09 14:00:00+00:00,29.9,74,0.61
